25;2014-07-09;admin;2014-07-09;admin;Snowden;Edward;NSA;Moskau;1983-09-11;Snowden@nsa.gov;342890;1;
24;2014-07-09;admin;2014-07-09;admin;Gates;Bill;Microsoft;Redmond;1955-08-08;bill@millionclub.com;0101101101010;1;
23;2014-07-09;admin;2014-07-09;admin;Putin;Wladimir;KGB AG;Moskau;1956-06-06;putin@kgb.ru;999;1;
22;2014-07-09;admin;2014-07-09;admin;Merkel;Angela;Kanzleramt;Berlin;1956-07-05;mutti@kanzleramt.de;0123456789;1;
21;2014-07-09;admin;2014-07-09;admin;Franziskus;Papst;Vatikan AG;Vatikan;1936-09-17;papst@vatikan.gov;666;1;
20;2014-07-09;admin;2014-07-09;admin;Gandhi;Mahatma;Buckingham Palace;England;1868-03-27;gandhi@westminster.gov;049848;1;
19;2014-07-09;admin;2014-07-09;admin;Lee;Bruce;US State;Boston;1957-06-07;Bruce@Lee.com;394839401;1;
18;2014-07-09;admin;2014-07-09;admin;Norris;Chuck;US State;Boston;1956-04-23;chuck@norris.com;054564564;1;
17;2014-07-09;admin;2014-07-09;admin;Cron;Maria;Mumm;Oppenheim;1977-05-03;maria@cron.de;034287364;1;
16;2014-07-09;admin;2014-07-09;admin;Ali;Mohammed;NBO;Sacramento;1935-04-03;ali@champion.net;283473434;1;
15;2014-07-09;admin;2014-07-09;admin;Zufall;Reiner;Lotto AG;Zugspitze;1912-12-12;zufall@lotto.eu;021212121;1;
14;2014-07-09;admin;2014-07-09;admin;Deininger;Marvin;IBM;New York;1932-05-25;m.deininger@ibm.com;0236590565564;1;
13;2014-07-09;admin;2014-07-09;admin;Hempel;Olaf;Bayer AG;Leverkusen;1967-01-13;o.hempel@mail.xyz;0214 36598754;1;
12;2014-07-09;admin;2014-07-09;admin;Patton;Irmgard;Bayer AG;Wuppertal;1988-09-26;i.patton@mail.xyz;202 / 33331731;1;
11;2014-07-09;admin;2014-07-09;admin;Theke;Anne;Kneipen Tour AG;Gelsenkirchen;1967-07-04;anne@kneipentour.de;032648654;1;
10;2014-07-09;admin;2015-01-20;admin;AndererNachname;AndererVorname;Bar&Co KG.;Bottrop;1956-03-05;klara@korn.com;0863256329;3;
9;2013-11-21;admin;2014-02-08;admin;Silie;Peter;Salat GmbH;Beet;1985-11-23;peter.silie@beet.de;01253658965;1;
8;2013-11-21;admin;2014-02-08;admin;Heinemann;Gustav;SAP;Waldorf;1978-04-27;heinemann@sap.de;06532566584;1;
7;2013-11-21;admin;2014-02-08;admin;Bush;Georg W.;US State;Teheran;1983-01-08;bush@standard-oil.gov;112;1;
6;2013-11-21;user;2012-08-08;admin;Clinton;Bill;US State;Hawana;1961-01-08;clinton@practice.gov;110;1;
5;2013-11-21;admin;2012-05-09;admin;Rocky;Balboa;Box;Arena;1980-01-08;rocky@adrian.com;01025665998;1;
4;2013-11-21;user;2013-12-24;user;Kohl;Helmut;Kanzleramt;Rostock;1948-01-08;schwarzkonto@kohl.de;072365963;1;
3;2014-03-08;admin;2014-01-01;admin;Brandt;Willi;Kanzleramt;Brunsbuettel;1914-01-08;deutschland@brandt.de;02115469875;1;
2;2012-03-08;admin;2013-11-07;user;Schmidt;Helmut;Kanzleramt;Kalk;1945-01-08;schmidt@raucherkette.de;0175632546;1;
1;2012-01-08;admin;2012-01-08;admin;Obama;Barack;US State;Hawai;1956-01-08;obama@care.gov;0800666666;1;
